,alternate_url,area,created_at,description,experience,name,published_at,salary,schedule,specializations,type
0,https://hh.ru/vacancy/32833414,"{'id': '5893', 'name': 'Новый Порт', 'url': 'https://api.hh.ru/areas/5893'}",2019-09-03T07:29:51+0300,"Обязанности:  супервайзерское сопровождение бурения скважин; организация контроля за соблюдением подрядчиками условий бурения, экологической безопасности и охраны труда, а также наличия необходимого технического оборудования и инструментов; разработка перспективного плана бурения скважин и текущая их корректировка; формирование сменного задания буровикам в соответствии с программой работ и проектной документацией; взаимодействие с Заказчиком и Исполнителем (буровыми и сервисными подрядчиками); руководство персоналом и помощь ему в решении производственных проблем; составление графиков эксплуатации оборудования, инструментов, материалов с целью оптимизации их использования; обеспечение достоверной и своевременной регистрации физических характеристик скважин и параметров исследований; контроль за ведением Подрядчиком технической документации при бурении скважин; составление суточной отчетности по пробуренным скважинам; в случае выявления отклонений от плана работ, своевременное принятие мер для приведения их в соответствие с проектной документацией; приостановка бурения скважин в случае выявлении нарушений и угроз здоровью и жизни персонала, а также приводящих к аварии, пожару, экологическому и прочему ущербу; участие в технических совещаниях с целью анализа проводимых работ; участие в техническом расследовании отклонений, аварий и брака при бурении скважины; проведение инструктажей по промышленной, противопожарной и др. видам безопасности, учебно-тренировочных занятий; участие в ликвидации аварий.    Требования:  Высшее образование по специальности &quot;Бурение&quot;. Профильный опыт работы по данной специальности от 5 лет. Знание технологии строительства скважины. Знание особенности работы по раздельному сервису. Высокий уровень владения ПК.    Условия:  Работа на месторождении нефтедобывающего дочернего общества компании ПАО «Газпром нефть» в ЯНАО. График работы вахтовый 30х30. Бессрочный трудовой договор. Полный социальный пакет. ","{'id': 'between3And6', 'name': 'От 3 до 6 лет'}",Супервайзер по бурению [id15229],2019-09-03T07:29:51+0300,,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}","[{'id': '10.470', 'name': 'Бурение', 'profarea_id': '10', 'profarea_name': 'Добыча сырья'}]","{'id': 'open', 'name': 'Открытая'}"
1,https://hh.ru/vacancy/32833413,"{'id': '1419', 'name': 'Новый Уренгой', 'url': 'https://api.hh.ru/areas/1419'}",2019-09-03T07:29:57+0300,"Обязанности:  супервайзерское сопровождение бурения скважин; организация контроля за соблюдением подрядчиками условий бурения, экологической безопасности и охраны труда, а также наличия необходимого технического оборудования и инструментов; разработка перспективного плана бурения скважин и текущая их корректировка; формирование сменного задания буровикам в соответствии с программой работ и проектной документацией; взаимодействие с Заказчиком и Исполнителем (буровыми и сервисными подрядчиками); руководство персоналом и помощь ему в решении производственных проблем; составление графиков эксплуатации оборудования, инструментов, материалов с целью оптимизации их использования; обеспечение достоверной и своевременной регистрации физических характеристик скважин и параметров исследований; контроль за ведением Подрядчиком технической документации при бурении скважин; составление суточной отчетности по пробуренным скважинам; в случае выявления отклонений от плана работ, своевременное принятие мер для приведения их в соответствие с проектной документацией; приостановка бурения скважин в случае выявлении нарушений и угроз здоровью и жизни персонала, а также приводящих к аварии, пожару, экологическому и прочему ущербу; участие в технических совещаниях с целью анализа проводимых работ; участие в техническом расследовании отклонений, аварий и брака при бурении скважины; проведение инструктажей по промышленной, противопожарной и др. видам безопасности, учебно-тренировочных занятий; участие в ликвидации аварий.    Требования:  Высшее образование по специальности &quot;Бурение&quot;. Профильный опыт работы по данной специальности от 5 лет. Знание технологии строительства скважины. Знание особенности работы по раздельному сервису. Высокий уровень владения ПК.    Условия:  Работа на месторождении нефтедобывающего дочернего общества компании ПАО «Газпром нефть» в ЯНАО. График работы вахтовый 30х30. Бессрочный трудовой договор. Полный социальный пакет. ","{'id': 'between3And6', 'name': 'От 3 до 6 лет'}",Супервайзер по бурению [id15229],2019-09-03T07:29:57+0300,,"{'id': 'flyInFlyOut', 'name': 'Вахтовый метод'}","[{'id': '10.470', 'name': 'Бурение', 'profarea_id': '10', 'profarea_name': 'Добыча сырья'}]","{'id': 'open', 'name': 'Открытая'}"
2,https://hh.ru/vacancy/33759084,"{'id': '90', 'name': 'Томск', 'url': 'https://api.hh.ru/areas/90'}",2019-09-25T09:54:48+0300,"В периметре ГК Газпром нефть открыта вакансия Бухгалтера по первичной бухгалтерской документацией Обязанности:   Проверка и обработка первичных учетных документов, учет товаров, работ, услуг  Осуществление качественной первичной проверки первичных учетных документов. Определение статуса документа оригинал/копия. Сканирование, маршрутизация размещение первичных учетных документов в электронных хранилищах Своевременный возврат на доработку документов Заказчику Контроль соблюдения сроков предоставления документов со стороны Заказчика. Архивирование документов  Проведение сверок взаиморасчетов с контрагентами  Запрос на формирование актов сверок взаиморасчетов с контрагентами Устранение расхождений, выявленных в акте сверки  Оказание консультативной и методологической поддержки  Оказание консультаций Заказчикам по требованиям к полноте и корректности оформления первичных учетных документов Поиск документов по запросам  Закрытие периода  Печать документов реализации товаров работ, услуг, передача документов на подписание уполномоченными сотрудниками Общества и Заказчиком. Выполнение контрольной процедуры сверки МОЛ Общества данных оперативного и бухгалтерского учета.  Требования:  высшее образование по направлению экономика/ бухгалтерский учет; опыт работы от 2х лет; знание ПК: Microsoft office, Outlook, 1С, знание SAP будет являться преимуществом; личностные качества: хорошие коммуникативные навыки, грамотная речь, умение работать с большим объемом данных.  Условия:  место работы: г. Томск, ул. Нахимова, официальное трудоустройство по ТК РФ; оклад + квартальная премия + годовой бонус; конкурентоспособный компенсационный пакет (льготы от компании, ДМС, страхование от несчастных случаев); возможность дальнейшего развития в крупной компании. ","{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}",Бухгалтер по первичной документации,2019-09-25T09:54:48+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '2.43', 'name': 'Бухгалтер', 'profarea_id': '2', 'profarea_name': 'Бухгалтерия, управленческий учет, финансы предприятия'}, {'id': '2.469', 'name': 'Первичная документация', 'profarea_id': '2', 'profarea_name': 'Бухгалтерия, управленческий учет, финансы предприятия'}]","{'id': 'open', 'name': 'Открытая'}"
3,https://hh.ru/vacancy/33786369,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",2019-09-26T11:36:46+0300,"В дочернем предприятии группы компаний Газпром Нефть открыта вакансия Администратора в отдел подбора персонала. Обязанности:  Администрирование процесса согласования кандидатов; Работа с документацией: прием, проверка комплектности пакета документов; Организация собеседований, сопровождение сотрудников в первый рабочий день; Ведение отчетности.  Требования:  Высшее законченное образование; Уверенное владение пакетом MS Office; Опыт работы на аналогичной позиции будет преимуществом.  Условия:  Официальное трудоустройство по ТК РФ; Расширенный соц. пакет (ДМС со стоматологией, страхование от несчастных случаев); Возможность дальнейшего развития в крупной компании. ","{'id': 'noExperience', 'name': 'Нет опыта'}",Администратор,2019-09-26T11:36:46+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '4.429', 'name': 'Делопроизводство', 'profarea_id': '4', 'profarea_name': 'Административный персонал'}, {'id': '4.181', 'name': 'Начальный уровень, Мало опыта', 'profarea_id': '4', 'profarea_name': 'Административный персонал'}, {'id': '6.184', 'name': 'Начальный уровень, Мало опыта', 'profarea_id': '6', 'profarea_name': 'Управление персоналом, тренинги'}]","{'id': 'open', 'name': 'Открытая'}"
4,https://hh.ru/vacancy/33627947,"{'id': '95', 'name': 'Тюмень', 'url': 'https://api.hh.ru/areas/95'}",2019-09-17T13:00:47+0300,"Обязанности:  Обеспечение эффективного производственного и производственно-экологического контроля на объектах Проекта.    Требования:   Высшее образование, соответствующее направлению деятельности по данной должности;   Опыт работы в аналогичной сфере от 3х лет;   Опыт работы в строительстве площадных объектов гражданского и производственного назначения.     Условия:  Работа в блоке крупных капитальных проектов ПАО «Газпром нефть» в офисе в г. Тюмень. Пятидневная рабочая неделя. Полный социальный пакет. ","{'id': 'between3And6', 'name': 'От 3 до 6 лет'}",Главный специалист по промышленной безопасности/строительство [id18781],2019-09-17T13:00:47+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '10.191', 'name': 'Нефть', 'profarea_id': '10', 'profarea_name': 'Добыча сырья'}, {'id': '10.472', 'name': 'Газ', 'profarea_id': '10', 'profarea_name': 'Добыча сырья'}, {'id': '20.287', 'name': 'Строительство', 'profarea_id': '20', 'profarea_name': 'Строительство, недвижимость'}, {'id': '18.201', 'name': 'Охрана труда', 'profarea_id': '18', 'profarea_name': 'Производство'}]","{'id': 'open', 'name': 'Открытая'}"
5,https://hh.ru/vacancy/33613196,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",2019-09-16T17:28:29+0300,"Обязанности:  Сопровождение операционной работы партнеров (АЗС), работающих с нами по различным моделям сотрудничества (франчайзинг, CODO, COPO, CORO и проч.) Претензионная работа Контроль и анализ выполнения текущего и бизнес-плана (совместно с работниками КЦ). Формирование аналитических отчетов по работе партнеров, в т.ч. по проведенным проверкам АЗС. Доведение требований по организации бизнес-процессов АЗС. Контроль дебиторской задолженности Формирование предложений для улучшения партнерских моделей  Требования:  Высшее образование; Опыт руководящей работы в розничной торговле от 2-х лет; Развитые коммуникационные навыки, самостоятельность; Активная жизненная позиция, готовность к большому объему работы.  Условия:  Официальное оформление по ТК РФ; Расширенный социальный пакет; Возможность профессионального развития, интересные, перспективные проекты ","{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}",Ведущий специалист по работе с партнерами (розничная сеть) [id17823],2019-09-16T17:28:29+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '17.324', 'name': 'Управление продажами', 'profarea_id': '17', 'profarea_name': 'Продажи'}, {'id': '17.441', 'name': 'Франчайзинг', 'profarea_id': '17', 'profarea_name': 'Продажи'}]","{'id': 'open', 'name': 'Открытая'}"
6,https://hh.ru/vacancy/33247246,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",2019-09-26T13:38:12+0300,"Задачи:   Исследование рынка транспортных услуг РФ;   Исследование трендов развития транспортной инфраструктуры.   Успешный кандидат:  Студент от 3 курса бакалавриата или магистратуры; Со средним баллом успеваемости 4,5 и выше; Уверенный пользователь MS Office. Готов к аналитической работе.  Условия практики обсуждаются по результатам собеседования","{'id': 'noExperience', 'name': 'Нет опыта'}",Практикант в Управление развития логистики [id15158],2019-09-26T13:38:12+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '15.308', 'name': 'Транспорт, Логистика', 'profarea_id': '15', 'profarea_name': 'Начало карьеры, студенты'}]","{'id': 'open', 'name': 'Открытая'}"
7,https://hh.ru/vacancy/33012143,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",2019-08-29T17:51:43+0300,"Задачи:  Участие в разработке концепции, аналитических и расчетных инструментов, а также требований к ИТ-решениям в рамках подготовки единой системы управления эффективностью для руководителей ЦКР. Контроль качества консолидированных данных системы управления эффективностью ЦКР с целью выявления неполных или недостоверных данных (метрики, ошибки, каталог услуг).  Успешный кандидат:  Студент 4 курса бакалавриата или магистратуры направления Экономика/Финансовый менеджмент/Экономика предприятий; Со средним баллом успеваемости 4 и выше; Уверенный пользователь MS Office. Готов к аналитической работе.  Условия стажировки обсуждаются по результатам собеседования","{'id': 'noExperience', 'name': 'Нет опыта'}",Стажер-аналитик [id16501],2019-08-29T17:51:43+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '1.25', 'name': 'Аналитик', 'profarea_id': '1', 'profarea_name': 'Информационные технологии, интернет, телеком'}, {'id': '15.346', 'name': 'Финансы, Банки, Инвестиции', 'profarea_id': '15', 'profarea_name': 'Начало карьеры, студенты'}]","{'id': 'open', 'name': 'Открытая'}"
8,https://hh.ru/vacancy/33673135,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",2019-09-19T13:22:24+0300,"Обязанности:  Разрабатывать программы спортивно-оздоровительных мероприятий Организовывать и проводить спортивно-массовые мероприятия, праздники, Дни здоровья Работать с документацией (сметы, акты, бизнес-планы, договоры, счета и т. д.) Собирать и анализировать информацию  Требования:  Высшее профессиональное образование Опыт работы в области физической культуры и спорта от 3 лет Гибкость при решении профессиональных задач Навыки коммуникации Знание пакета Microsoft Office  Условия:  Работа в стабильной, динамично развивающейся компании Перспектива профессионального роста Расширенный социальный пакет (ДМС, страхование жизни, единовременные выплаты к отпуску) Уровень оплаты труда обсуждается по итогам собеседования. ","{'id': 'between3And6', 'name': 'От 3 до 6 лет'}",Руководитель направления по физической культуре и спорту [id19363],2019-09-19T13:22:24+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '9.521', 'name': 'Спортивные клубы, Фитнес, Салоны красоты', 'profarea_id': '9', 'profarea_name': 'Высший менеджмент'}]","{'id': 'open', 'name': 'Открытая'}"
9,https://hh.ru/vacancy/33744286,"{'id': '2', 'name': 'Санкт-Петербург', 'url': 'https://api.hh.ru/areas/2'}",2019-09-24T13:18:00+0300,"Обязанности:   Правовая экспертиза гражданско-правовых договорных документов (договоры на портовое обслуживание судов, договоры с агентом в порту, аренда причалов, услуги лоцманов и т.д.);  Правовая экспертиза договорных документов в целях обеспечения общехозяйственных вопросов Общества; Правовая экспертиза договорных документов на обслуживание судов (ремонт, подряд, оказание услуг); Ведение претензионно - исковой работы в интересах Общества в рамках компетенции/функционала подразделения; Взаимодействие с налоговыми органами, нотариатом и пр. по вопросам, связанным с получением, предоставлением, заверением выписок из реестра, уставных и иных корпоративных документов Общества;  Защита прав и интересов Общества в судебных органах и третейских (арбитражных) судах в России, а также во внесудебных/досудебных процедурах урегулирования споров;   Мониторинг законодательства РФ в сфере деятельности Общества, информирование Руководства и профильных служб об изменениях в законодательстве в сфере деятельности Общества, а также по вопросам потенциальных правовых рисков связанных с подобными изменениями.   Требования:  Высшее юридическое образование;  Опыт работы по специальности не менее 3 лет;   Знание гражданского, коммерческого, процессуального, административного, трудового, таможенного и налогового законодательства, международного права;   Опыт взаимодействия с гос. органами, обжалование действий/решений;   Опыт в сфере претензионно-исковой работы;   Опыт работы по административно-правовым делам;   Знание английского языка будет преимуществом.   Знание российского морского права, основ международного морского права; лицензионного, страхового законодательства по вопросам деятельности на водном транспорте будет преимуществом.   Условия:  Официальное оформление по ТК РФ; Белая заработная плата (оклад + бонусная часть); График 5/2; ДМС; Постоянная штатная позиция. ","{'id': 'between3And6', 'name': 'От 3 до 6 лет'}",Ведущий юрисконсульт [id19782],2019-09-24T13:18:00+0300,,"{'id': 'fullDay', 'name': 'Полный день'}","[{'id': '23.477', 'name': 'Договорное право', 'profarea_id': '23', 'profarea_name': 'Юристы'}, {'id': '23.159', 'name': 'Морское право', 'profarea_id': '23', 'profarea_name': 'Юристы'}, {'id': '23.165', 'name': 'Налоговое право', 'profarea_id': '23', 'profarea_name': 'Юристы'}, {'id': '23.311', 'name': 'Трудовое право', 'profarea_id': '23', 'profarea_name': 'Юристы'}, {'id': '23.362', 'name': 'Юрисконсульт', 'profarea_id': '23', 'profarea_name': 'Юристы'}, {'id': '23.442', 'name': 'Международное право', 'profarea_id': '23', 'profarea_name': 'Юристы'}]","{'id': 'open', 'name': 'Открытая'}"
